objectid,filename,youtubeid,vimeoid,The Romantic Ideology: A Critical Investigation,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,,,,Coleridge's Notebooks: A Selection,,,,,,,,,,,,,,
coll002,,,,The Complete Poems,,,,,,,,,,,,,,
coll003,,,,The Collected Poems of William Wordsworth,,,,,,,,,,,,,,
coll004,,,,Lord Byron - The Major Works,,,,,,,,,,,,,,
coll005,,,,The Reading Nation in the Romantic Period,,,,,,,,,,,,,,
coll006,,,,The Greek Revolution: A Critical Dictionary,,,,,,,,,,,,,,
coll007,,,,"John Keats: The Major Works: Including Endymion, the Odes and Selected Letters",,,,,,,,,,,,,,
coll008,,,,The Complete Poems,,,,,,,,,,,,,,
coll009,,,,Slavery and the Romantic imagination,,,,,,,,,,,,,,
coll010,,,,Byron: Life and Legend,,,,,,,,,,,,,,
coll011,,,,Romantic representations of British India,,,,,,,,,,,,,,
coll012,,,,Radical Wordsworth: The Poet Who Changed the World,,,,,,,,,,,,,,
coll013,,,,The Broadview Anthology of Romantic Poetry,,,,,,,,,,,,,,
coll014,,,,Eternity's Sunrise: The Imaginative World of William Blake,,,,,,,,,,,,,,
coll015,,,,"Romanticism and the Gothic: genre, reception, and canon formation",,,,,,,,,,,,,,
coll016,,,,John Keats: A New Life,,,,,,,,,,,,,,
coll017,,,,Romanticism in the shadow of war : literary culture in the Napoleonic war years,,,,,,,,,,,,,,
coll018,,,,Napoleon and English Romanticism,,,,,,,,,,,,,,
coll019,,,,,,,,,,,,,,,,,,
coll020,,,,,,,,,,,,,,,,,,
